name;price;cycles/d;run costs/d;input;amount/c;storage;cost/d;product;amount/c;storage;income/d;total income/d;profit/d;profit ratio/d;total profit/d;total profit ratio/d
;;24;302.4;liquidmanure;1010;50000;800;electriccharge;606;0;5090;;5163;4.68;;
;;;;;;;;methane;42;0;454;;;;;
;;;;;;;;digestate;910;916000;721;;;;;
;;24;302.4;manure;1010;50000;800;electriccharge;606;0;5090;;5163;4.68;;
;;;;;;;;methane;42;0;454;;;;;
;;;;;;;;digestate;910;916000;721;;;;;
;;24;302.4;sugarbeet_cut;505;24000;2691;electriccharge;303;0;2545;;366;0.12;;
;;;;;;;;methane;42;0;454;;;;;
;;;;;;;;digestate;455;916000;360;;;;;
bga99kw;435000;24;60;silage;840;41000;2439;electriccharge;504;0;4234;7754;2345;0.94;4226;1.2
;;;;;;;;methane;1;0;11;;;;;
;;;;;;;;digestate;756;180000;599;;;;;
;;24;60;liquidmanure;200;10000;158;electriccharge;120;0;1008;;944;4.33;;
;;;;;;;;methane;1;0;11;;;;;
;;;;;;;;digestate;180;180000;143;;;;;
;;24;60;manure;200;10000;158;electriccharge;120;0;1008;;944;4.33;;
;;;;;;;;methane;1;0;11;;;;;
;;;;;;;;digestate;180;180000;143;;;;;
;;24;60;sugarbeet_cut;100;5000;533;electriccharge;60;0;504;;-7;-0.01;;
;;;;;;;;methane;1;0;11;;;;;
;;;;;;;;digestate;90;180000;71;;;;;
carpenter;300000;120;72;wood;10;12000;1200;furniture;17;47000;3978;18393;2706;2.13;7959;0.76
;;192;72;boards;10;20000;2496;furniture;14;47000;5242;;2674;1.04;;
;;336;72;planks;10;33000;6522;furniture;14;47000;9173;;2579;0.39;;
carpenter;36000;120;72;wood;1;1200;120;furniture;1.7;4700;398;1839;206;1.07;601;0.49
;;192;72;boards;1;2000;250;furniture;1.4;4700;524;;202;0.63;;
;;336;72;planks;1;3300;652;furniture;1.4;4700;917;;193;0.27;;
cementFactory;37000;24;24;stone;100;24000;120;cement;18;4300;454;4205;310;2.15;-1771;-0.3
;;24;120;stone;100;24000;120;roofplates;12.5;4300;474;;234;0.97;;
;;24;48;stone;100;24000;120;cementbricks;12.5;4300;474;;306;1.82;;
;;48;12;stone;100;24000;240;cement;18;4300;907;;-881;-0.49;;
;;;;woodchips;100;24000;1536;;;;;;;;;
;;48;60;stone;100;24000;240;roofplates;12.5;4300;948;;-888;-0.48;;
;;;;woodchips;100;24000;1536;;;;;;;;;
;;48;24;stone;100;24000;240;cementbricks;12.5;4300;948;;-852;-0.47;;
;;;;woodchips;100;24000;1536;;;;;;;;;
cerealFactory;240000;216;120;honey;10;22000;2160;cereal;20;15000;16416;51984;2736;0.2;11057;0.27
;;;;raisins;10;22000;3521;;;;;;;;;
;;;;oat;40;87000;4596;;;;;;;;;
;;;;maize;40;87000;3283;;;;;;;;;
;;216;120;honey;10;22000;2160;cereal;20;15000;16416;;2724;0.2;;
;;;;chocolate;10;22000;4320;;;;;;;;;
;;;;oat;36;87000;4137;;;;;;;;;
;;;;maize;36;87000;2955;;;;;;;;;
;;144;240;honey;15;22000;2160;cereal;15;15000;8208;;2755;0.51;;
;;;;ricelonggrain;40;58000;3053;;;;;;;;;
;;144;240;honey;15;22000;2160;cereal;20;15000;10944;;2842;0.35;;
;;;;rice;36;52000;5702;;;;;;;;;
dairy;210000;480;24;milk;15;72000;5040;butter;13;70000;6989;63929;1925;0.38;19662;0.44
;;744;96;goatmilk;3;29000;6294;butter;10;70000;8333;;1943;0.3;;
;;52.8;192;buffalomilk;3;15000;554;butter;45;70000;2661;;1915;2.57;;
;;1320;24;milk;3;72000;2772;cheese;2;40000;4752;;1956;0.7;;
;;960;96;goatmilk;3;29000;8122;goatcheese;6;40000;10138;;1920;0.23;;
;;480;192;buffalomilk;3;15000;5040;buffalomozzarella;2;10000;7200;;1968;0.38;;
;;2520;24;milk;1;72000;1764;chocolate;1;30000;5040;;1992;0.65;;
;;;;sugar;1;26000;1260;;;;;;;;;
;;480;24;milk;10;72000;3360;milk_bottled;20;96000;5568;;2184;0.65;;
;;144;96;goatmilk;10;29000;4061;goatmilk_bottled;20;30000;6077;;1920;0.46;;
;;144;192;buffalomilk;10;15000;5040;buffalomilk_bottled;20;30000;7171;;1939;0.37;;
dairy;36000;48;24;milk;15;7200;504;butter;13;7000;699;6393;171;0.32;1104;0.21
;;74.4;96;goatmilk;3;3000;629;butter;10;7000;833;;108;0.15;;
;;5.28;192;buffalomilk;3;2500;55;butter;45;7000;266;;19;0.08;;
;;132;24;milk;3;7200;277;cheese;2;4000;475;;174;0.58;;
;;96;96;goatmilk;3;3000;812;goatcheese;6;4000;1014;;106;0.12;;
;;48;192;buffalomilk;3;2500;504;buffalomozzarella;2;2000;720;;24;0.03;;
;;252;24;milk;1;7200;176;chocolate;1;3000;504;;178;0.55;;
;;;;sugar;1;2600;126;;;;;;;;;
;;48;24;milk;10;7200;336;milk_bottled;20;9600;557;;197;0.55;;
;;14.4;96;goatmilk;10;3000;406;goatmilk_bottled;20;3000;608;;106;0.21;;
;;14.4;192;buffalomilk;10;2500;504;buffalomilk_bottled;20;3000;717;;21;0.03;;
grainMill;288000;2520;24;wheat;5;126000;4246;flour;4;60000;6955;55771;2685;0.63;16682;0.43
;;480;24;barley;30;144000;4507;flour;22;60000;7286;;2755;0.61;;
;;1200;24;oat;15;180000;9576;flour;15;60000;12420;;2820;0.29;;
;;1200;24;sorghum;15;180000;7740;flour;13;60000;10764;;3000;0.39;;
;;720;48;ricelonggrain;15;108000;5724;riceflour;13;60000;8518;;2746;0.48;;
;;720;24;rice;9;65000;7128;riceflour;15;60000;9828;;2676;0.37;;
grainMill;36000;252;24;wheat;5;126000;425;flour;4;60000;696;5578;247;0.55;1517;0.37
;;48;24;barley;30;144000;451;flour;22;60000;729;;254;0.53;;
;;120;24;oat;15;180000;958;flour;15;60000;1242;;260;0.26;;
;;120;24;sorghum;15;180000;774;flour;13;60000;1076;;278;0.35;;
;;72;48;ricelonggrain;15;108000;572;riceflour;13;60000;852;;232;0.37;;
;;72;24;rice;9;65000;713;riceflour;15;60000;983;;246;0.33;;
grapeProcessing;240000;5280;60;grape;2;105000;6368;raisins;1;55000;8606;16922;2178;0.34;4356;0.35
;;720;60;grape;14;105000;6078;grapejuice;7;55000;8316;;2178;0.35;;
grapeProcessing;36000;528;60;grape;2;10500;637;raisins;1;5500;861;1693;164;0.24;328;0.24
;;72;60;grape;14;10500;608;grapejuice;7;5500;832;;164;0.25;;
greenHouseGlassLarge;54000;1056;2.4;water;4;40000;422;tomato;4;28000;2112;15075;1688;3.98;11381;3.08
;;1008;2.4;water;8;40000;806;lettuce;4;28000;3992;;3184;3.94;;
;;528;2.4;water;4;40000;211;strawberry;8;28000;1901;;1688;7.91;;
;;336;2.4;water;6;40000;202;spring_onion;12;28000;1814;;1610;7.87;;
;;672;2.4;water;8;40000;538;napacabbage;6;28000;1411;;871;1.61;;
;;528;2.4;water;12;40000;634;chilli;8;28000;1901;;1265;1.99;;
;;720;2.4;water;12;40000;864;garlic;6;28000;1944;;1078;1.24;;
greenHouseGlassMedium;27000;1056;2.4;water;2;20000;211;tomato;2;14000;1056;7537;843;3.95;5681;3.06
;;1008;2.4;water;4;20000;403;lettuce;2;14000;1996;;1591;3.92;;
;;528;2.4;water;2;20000;106;strawberry;4;14000;950;;842;7.76;;
;;336;2.4;water;3;20000;101;spring_onion;6;14000;907;;804;7.77;;
;;672;2.4;water;4;20000;269;napacabbage;3;14000;706;;435;1.6;;
;;528;2.4;water;6;20000;317;chilli;4;14000;950;;631;1.97;;
;;720;2.4;water;6;20000;432;garlic;3;14000;972;;538;1.24;;
greenHouseGlassSmall;13500;1056;2.4;water;1;10000;106;tomato;1;7000;528;3769;420;3.87;2833;3.03
;;1008;2.4;water;2;10000;202;lettuce;1;7000;998;;794;3.88;;
;;528;2.4;water;1;10000;53;strawberry;2;7000;475;;420;7.57;;
;;336;2.4;water;1.5;10000;50;spring_onion;3;7000;454;;402;7.66;;
;;672;2.4;water;2;10000;134;napacabbage;1.5;7000;353;;217;1.59;;
;;528;2.4;water;3;10000;158;chilli;2;7000;475;;315;1.96;;
;;720;2.4;water;3;10000;216;garlic;1.5;7000;486;;268;1.23;;
greenHouseMushroomsLarge;36000;816;2.4;water;1;7000;82;enoki;5;24000;1714;3458;1630;19.31;3304;21.48
;;672;2.4;water;1;7000;67;oyster;3;12000;1744;;1675;24.13;;
greenHouseMushroomsMedium;18000;408;2.4;water;1;4000;41;enoki;5;12000;857;1729;814;18.75;1649;20.67
;;336;2.4;water;1;4000;34;oyster;3;6000;872;;836;22.96;;
greenHouseMushroomsSmall;9000;204;2.4;water;1;2000;20;enoki;5;6000;428;864;406;18.11;822;19.67
;;168;2.4;water;1;2000;17;oyster;3;3000;436;;417;21.47;;
greenHousesSaplings;3000;48;2.4;water;3;2000;14;ricesaplings;1;500;160;160;144;8.76;144;8.76
greenHousesTarpLarge;36000;1056;2.4;water;4;40000;422;tomato;4;28000;2112;15075;1688;3.98;11381;3.08
;;1008;2.4;water;8;40000;806;lettuce;4;28000;3992;;3184;3.94;;
;;528;2.4;water;4;40000;211;strawberry;8;28000;1901;;1688;7.91;;
;;336;2.4;water;6;40000;202;spring_onion;12;28000;1814;;1610;7.87;;
;;672;2.4;water;8;40000;538;napacabbage;6;28000;1411;;871;1.61;;
;;528;2.4;water;12;40000;634;chilli;8;28000;1901;;1265;1.99;;
;;720;2.4;water;12;40000;864;garlic;6;28000;1944;;1078;1.24;;
greenHousesTarpMedium;18000;1056;2.4;water;2;20000;211;tomato;2;14000;1056;7537;843;3.95;5681;3.06
;;1008;2.4;water;4;20000;403;lettuce;2;14000;1996;;1591;3.92;;
;;528;2.4;water;2;20000;106;strawberry;4;14000;950;;842;7.76;;
;;336;2.4;water;3;20000;101;spring_onion;6;14000;907;;804;7.77;;
;;672;2.4;water;4;20000;269;napacabbage;3;14000;706;;435;1.6;;
;;528;2.4;water;6;20000;317;chilli;4;14000;950;;631;1.97;;
;;720;2.4;water;6;20000;432;garlic;3;14000;972;;538;1.24;;
greenHousesTarpSmall;9000;1056;2.4;water;1;10000;106;tomato;1;7000;528;3769;420;3.87;2833;3.03
;;1008;2.4;water;2;10000;202;lettuce;1;7000;998;;794;3.88;;
;;528;2.4;water;1;10000;53;strawberry;2;7000;475;;420;7.57;;
;;336;2.4;water;1.5;10000;50;spring_onion;3;7000;454;;402;7.66;;
;;672;2.4;water;2;10000;134;napacabbage;1.5;7000;353;;217;1.59;;
;;528;2.4;water;3;10000;158;chilli;2;7000;475;;315;1.96;;
;;720;2.4;water;3;10000;216;garlic;1.5;7000;486;;268;1.23;;
oilMill;240000;480;60;sunflower;20;96000;6461;sunflower_oil;10;50000;8544;39360;2023;0.31;10496;0.36
;;480;60;canola;20;96000;5789;canola_oil;10;50000;7872;;2023;0.35;;
;;240;60;olive;25;60000;3618;olive_oil;10;25000;5856;;2178;0.59;;
;;480;60;ricelonggrain;25;120000;6360;rice_oil;10;50000;8544;;2124;0.33;;
;;480;60;rice;12;58000;6336;rice_oil;10;50000;8544;;2148;0.34;;
oilMill;36000;48;60;sunflower;20;9600;646;sunflower_oil;10;5000;854;3935;148;0.21;778;0.25
;;48;60;canola;20;9600;579;canola_oil;10;5000;787;;148;0.23;;
;;24;60;olive;25;6000;362;olive_oil;10;2500;586;;164;0.39;;
;;48;60;ricelonggrain;25;12000;636;rice_oil;10;5000;854;;158;0.23;;
;;48;60;rice;12;5800;634;rice_oil;10;5000;854;;160;0.23;;
paperFactory;525000;24;120;wood;420;130000;10080;cartonroll;215;51000;14964;32628;4764;0.47;9516;0.41
;;24;72;wood;535;130000;12840;paperroll;230;55000;17664;;4752;0.37;;
preservedFoodFactory;36000;24;96;carrot;100;24000;317;preservedcarrots;45;11000;626;18669;213;0.52;3232;0.21
;;24;96;parsnip;100;24000;314;preservedparsnip;45;11000;624;;214;0.52;;
;;24;96;beetroot;100;24000;293;preservedbeetroot;45;11000;605;;216;0.56;;
;;24;48;pea;100;24000;2496;canned_peas;45;11000;2804;;260;0.1;;
;;24;48;spinach;100;24000;528;spinach_bags;45;11000;837;;261;0.45;;
;;24;48;ricelonggrain;100;24000;1272;rice_bags;45;11000;1581;;261;0.2;;
;;24;48;rice;100;24000;2640;rice_boxes;45;11000;2948;;260;0.1;;
;;24;48;greenbean;100;24000;1728;jarred_greenbean;45;11000;2037;;261;0.15;;
;;24;120;napacabbage;20;4800;168;fermentednapacabbage;42;11000;655;;301;0.85;;
;;;;garlic;2;480;22;;;;;;;;;
;;;;spring_onion;2;480;22;;;;;;;;;
;;;;chilli;2;480;22;;;;;;;;;
;;24;48;flour;55;14000;911;noodlesoup;40;9600;1488;;260;0.21;;
;;;;egg;10;2400;269;;;;;;;;;
;;24;24;riceflour;42;11000;917;noodlesoup;40;9600;1488;;278;0.23;;
;;;;egg;10;2400;269;;;;;;;;;
;;24;120;ricelonggrain;60;24000;763;ricerolls;30;12000;1116;;233;0.26;;
;;24;168;rice;56;24000;1478;ricerolls;50;12000;1860;;214;0.13;;
sawmill;300000;24;48;wood;416;280000;9984;boards;410;200000;12792;58021;3682;0.37;14034;0.32
;;;;;;;;woodchips;120;300000;922;;;;;
;;24;48;wood;416;280000;9984;planks;275;140000;12811;;3701;0.37;;
;;;;;;;;woodchips;120;300000;922;;;;;
;;24;48;wood;416;280000;9984;woodbeam;183;90000;12790;;3910;0.39;;
;;;;;;;;woodchips;150;300000;1152;;;;;
;;33.6;48;wood;412;280000;13843;prefabwall;100;70000;16632;;2741;0.2;;
sawmill;36000;24;48;wood;41;14000;984;boards;41;10000;1279;3795;247;0.24;699;0.23
;;24;48;wood;41;14000;984;planks;27;7000;1258;;226;0.22;;
;;24;48;wood;41;14000;984;woodbeam;18;4500;1258;;226;0.22;;
spinnery;180000;1440;120;wool;3;45000;4061;fabric;1;50000;5760;34560;1579;0.38;3216;0.1
;;2400;120;cotton;9;200000;27043;fabric;3;50000;28800;;1637;0.06;;
spinnery;36000;144;120;wool;3;4500;406;fabric;1;5000;576;3456;50;0.1;106;0.03
;;240;120;cotton;9;20000;2704;fabric;3;5000;2880;;56;0.02;;
sugarMill;240000;12720;120;sugarbeet;2;1260000;4376;sugar;1.05;1900000;6678;19878;2182;0.49;6578;0.49
;;5880;72;sugarbeet_cut;5;1260000;6527;sugar;3;1900000;8820;;2221;0.34;;
;;8760;120;sugarcane;2;1260000;2085;sugar;1;1900000;4380;;2175;0.99;;
sugarMill;36000;1272;120;sugarbeet;2;36000;438;sugar;1.05;18000;668;1988;110;0.2;377;0.23
;;588;72;sugarbeet_cut;5;36000;653;sugar;3;18000;882;;157;0.22;;
;;876;120;sugarcane;2;36000;208;sugar;1;18000;438;;110;0.34;;
tailorShop;240000;2400;240;fabric;4;96000;38400;clothes;2;48000;40800;40800;2160;0.06;2160;0.06
tailorShop;36000;240;240;fabric;4;9600;3840;clothes;2;4800;4080;4080;;;;
